First,Last,Height,Weight,Score
Fredd,Adams,5-9,160,0.8067
Mohamed,Altayeb,6-4,295,0.8400
Bryce,Anderson,6-5,235,0.8625
Javen,Augustus,6-4,225,0.8550
Kone,Aumua-Uiagalelei,6-2,280,0.7700
Chance,Barron,6-0,215,0.7900
Mumu,Bin-Wahad,5-11,185,0.8650
Martavis,Blackmon,6-2,225,0.8517
Shannon,Blair,6-1,190,0.8647
Demarcco,Blanton,6-0,185,0.8511
Jaylen,Boehm-Peterson,6-3,190,0.8000
Rashod,Bradley,6-3,255,0.8467
Carson,Bradley,6-6,310,0.8200
Chandavian,Bradley,6-4,242,0.8714
Landon,Bridges,6-2,295,0.8322
Samuel,Brooks,6-1,180,0.8500
Keyon,Brown,6-3,200,0.8711
Tyrell,Brown,6-4,280,0.8619
Shawn,Brown,6-3,205,0.7800
Elijah,Brown,6-2,184,0.8300
Tyler,Brumfield,6-6,315,0.8689
Dariyonne,Bryant,6-2,185,0.8519
DJ,Burgess,6-2,255,0.8511
Tymere,Burton,6-3,225,0.8200
Amari,Butler,5-10,180,0.7800
Rock,Caldwell,6-3,180,0.8600
Devan,Carlisle,6-4,200,0.8500
Lance,Carson,6-4,260,0.8500
Kameron,Carter,6-1,180,0.7800
Zane,Carter,6-4,220,0.8000
Breck,Chambers,6-1,195,0.8100
Montrell,Chapman,6-2,230,0.8483
Ahamad,Chapman,6-3,170,0.8300
Markell,Chapman,6-3,315,0.8300
Deterrius,Clayton,6-6,235,0.8150
Preston,Clendenin,6-0,195,0.7800
Mason,Clinton,6-5,290,0.8592
DJ,Cloyd,6-2,200,0.7900
Tyeland,Coleman,6-4,285,0.8708
Kollin,Collier,6-0,185,0.8583
Samari,Collier,6-3,220,0.8500
Will,Cornelson,6-3,232,0.8000
Gavin,Correia,6-5,225,0.7900
JP,Coulter,5-11,175,0.8350
Bubba,Craig,6-8,320,0.8664
Kaliem,Croswell,6-4,310,0.8272
Keshawn,Davila,6-1,165,0.8767
Jemyri,Davis,6-1,170,0.8583
Omarion,Davis,6-5,305,0.7900
Devin,Davis,6-2,305,0.7900
Hunter,Dekkers,6-3,225,0.8900
Zavian,Dilworth,5-10,175,0.7900
Keenan,Eck,6-5,235,0.8700
Maurice,Edwards,6-0,198,0.8517
Devin,Ellison,6-2,195,0.8500
Zavier,Fairley,6-3,175,0.8100
Jayon,Farrar,6-0,180,0.7900
Takeshi,Faupula,5-9,225,0.7800
Kyle,Ferm,6-3,225,0.8206
Deuce,Fillmore,5-11,185,0.8350
Noah,Flemmings,6-3,228,0.8544
Jalen,Foster,6-2,190,0.8022
Ezra,Funa,6-3,300,0.8200
Demonte,Gaston,6-2,200,0.8300
John,Gayer,6-4,245,0.7900
Javen,Gibson,6-3,230,0.8000
Fred,Giles,6-4,240,0.8200
Elijah,Gipson,5-10,170,0.8000
Braxton,Goff,6-3,300,0.8150
Logan,Goodspeed,6-4,270,0.8100
Walt,Gray,6-4,235,0.7800
Korbyn,Green,6-0,173,0.8267
Alan,Grimme,6-5,285,0.8544
Trey,Hall,5-11,185,0.8750
Zavion,Hardy,6-6,280,0.9000
Nylan,Harper,5-11,170,0.8237
Prestin,Hawkins,6-7,295,0.8206
Nick,Hemer,6-4,205,0.8000
Braylan,Henderson,6-4,285,0.7900
Fatutoa,Henry,6-4,220,0.8950
Daniel,Hernandez,6-4,305,0.8400
DJ,Hill-Smith,6-2,185,0.8578
Mikel,Hines,6-4,240,0.8219
Chance,Holloman,6-5,305,0.8622
Larell,Howling,5-11,185,0.8378
Josh,Humes,6-2,245,0.7900
Tre',III,6-2,185,0.8400
Anthony,III,6-0,170,0.8800
Emeka,Iloh,6-9,250,0.8600
Dominic,Ingrassia,6-3.5,194,0.8000
BJ,Inmon,5-11,170,0.7900
Jackson,Irwin,6-4,230,0.8000
Bernock,Iya,6-2,180,0.8200
Tyler,Jacklich,6-2,223,0.8200
Zy,Jackson,5-10,165,0.8219
Da'Jy'Quwan,Jackson-Payne,6-5,295,0.8200
LaKendrick,James,6-2,217,0.8664
Jett,Jefferson,6-1,180,0.8650
Jahari,Johnson,6-3,195,0.7900
TJ,Johnson,6-3,185,0.8500
Jaylon,Johnson,6-4,250,0.8200
TJ,Jones,6-2,190,0.7900
JaKolby,Jones,6-5,295,0.8300
Waymond,Jordan,5-10,205,0.8683
Rudy,Jr.,6-3,300,0.8250
Toric,Jr.,6-1,185,0.7956
Craig,Jr.,6-2,175,0.8300
Jeremy,Jr.,6-3,190,0.8600
Perry,Jr.,6-3,290,0.8733
Ismael,Kante,6-2,225,0.8731
Quandarius,Keyes,6-1,175,0.8450
Maasai,King,6-3,300,0.7800
Dylan,King,6-3,200,0.8370
Dejuan,Lacy,5-9,200,0.7800
Solomone,Langi,6-0,285,0.7894
LaParka,Langston,6-8,310,0.8717
Jayden,Lawton,6-2,175,0.8511
Matthew,Lefeau,6-5,350,0.8711
