First,Last,Height,Weight,Score
Shunmarkus,Adams,6-4,330,0.8300
Malcolm,Alcorn-Crowder,6-6,297,0.8785
Antonio,Alfano,6-4,285,0.9073
Markus,Allen,6-2,190,0.8100
Justin,Anderson,6-0,200,0.8133
Braydon,Bailey,6-2,280,0.8289
Travion,Barnes,5-11,235,0.8130
Zeriah,Beason,6-0,195,0.8408
Cedrick,Beavers,5-10,170,0.9025
Terron,Bedford,6-4,255,0.7944
Markel,Bell,6-8.5,340,0.8847
Matthew,Bess,6-0,170,0.7900
Zach,Blackwood,6-4,285,0.8517
Latrell,Bonner,6-3,195,0.8000
Jaekwon,Bouldin,6-7,350,0.8544
Ryan,Boultwood,6-4,225,0.8417
Zak,Bowden,6-4,275,0.7733
Trejan,Bridges,6-1,180,0.8700
Daniel,Brown,6-1,240,0.8789
Marquis,Brown,6-4,200,0.8600
Keyshawn,Buckley,5-11,178,0.8244
Derek,Burns,6-6,250,0.8500
Tobias,Burrell,6-1,195,0.8300
Bryce,Butler,6-5,295,0.8525
Christopher,Cain,6-7,300,0.7800
Dylan,Camp,6-0,180,0.7800
Chase,Canada,6-0,190,0.8378
Hastings,Carruth,6-6,310,0.8119
Chayce,Chadwick,6-4,310,0.8006
Vernorrius,Chaney,6-1,175,0.8328
Corey,Clark,6-4,310,0.8600
Mond,Cole,6-3,310,0.8156
Samari,Collier,6-3,220,0.8550
Raymond,Collins,6-2,235,0.8954
Alex,Conn,6-6,330,0.8250
KJ,Cooper,6-5,225,0.7900
Kemari,Copeland,6-2,285,0.8892
La'Dareyen,Craig,6-2,175,0.8711
Larry,Crawford,6-4,275,0.8486
Shamar,Crawford,6-5,305,0.7906
Anfernee,Crease,6-6,310,0.8500
Isaiah,Crosby,5-10,175,0.8508
Kionte,Curry,6-0,195,0.8315
Dodji,Dahoue,6-9,290,0.7783
Dante,Daniels,6-6,265,0.8344
Johnnie,Daniels,5-10,200,0.8714
Marlon,Dawson,6-4,222,0.8600
Marlin,Dean,6-6,245,0.8940
Demond,Demas,6-3,180,0.9006
Dakote,Doyle,6-1,270,0.8094
Jalyn,Durgan,6-4,250,0.8403
Cyrus,Durham,6-4,240,0.8600
Luke,Eckardt,6-6,295,0.8200
Mason,Edwards,6-2,175,0.7989
Jakari,Embry,6-1,185,0.8122
Michael,Eneh,6-3,315,0.7800
Rabbit,Evans,6-2,190,0.8581
Udoka,Ezeani,6-0,200,0.7983
Jamel,Fils-Aime,6-4,305,0.8600
EJ,Fisk,5-11,160,0.8161
