First,Last,Height,Weight,Score
Jefferson,Adam,6-5,240,0.8685
Joey,Aguilar,6-4,220,0.8400
Reggie,Akles,6-2,185,0.8650
Kalil,Alexander,6-3,215,0.8100
Isaiah,Alonzo,6-5,250,0.8400
Champ,Anthony,6-1,176,0.8678
Nnanna,Anyanwu,6-5,240,0.8703
Caleb,Barajas,6-4,280,0.8578
Diego,Barajas,6-6,300,0.8206
Ashlynd,Barker,6-3,200,0.8600
Grayson,Barnes,6-4,215,0.8450
Dayveon,Bates,6-1,180,0.8137
Kavika,Baumgartner,6-2,270,0.8300
MarKendrick,Beall,6-4,340,0.8150
Marquis,Bell,6-0,175,0.8200
Leon,Bell,6-8,330,0.8797
Jacoby,Bellazar,5-11,175,0.8664
Jakob,Belton,6-7,290,0.8600
Malik,Benson,6-1,185,0.9431
Dallen,Bentley,6-5,255,0.8667
Keyshawn,Blackstock,6-5,315,0.8942
John,Bolles,6-4,240,0.8100
Davon,Booth,5-9,175,0.8000
Kason,Boston,6-5,255,0.8511
Michael,Boudoin,6-3,200,0.8406
Deonte,Bowie,6-4,325,0.8550
Trevor,Brock,6-7,320,0.8450
Forrest,Brock,6-3,205,0.8000
Azain,Brown,6-1,195,0.8300
Caleb,Brown,6-0,155,0.8100
Sam,Brumfield,5-11,230,0.8300
Deonte,Bryant,6-5,250,0.8056
Dontavius,Burrows,6-1,205,0.8056
Marcello,Bussey,6-0,179,0.8306
Jailen,Butler,6-4,216,0.8300
Berry,Buxton,6-1,180,0.8600
Channing,Canada,6-0,185,0.9000
Alexander,Capka-Jones,6-4,180,0.8500
Steven,Cattledge,6-4,220,0.8496
Micah,Cherry,6-3,185,0.8272
Jamauri,Chislom,6-2,250,0.8144
Ezra,Christensen,6-2,265,0.8256
Artis,Cole,6-0,195,0.8006
Jamorri,Colson,5-11,180,0.8572
Bobby,Crosby,6-1,195,0.8300
Ryan,Daly,6-6,230,0.8144
Cole,Daniels,6-2,290,0.8400
Donerio,Davenport,5-11,205,0.8404
Tyrecus,Davis,5-10,180,0.8350
Elijah,Davis,6-4,280,0.9061
Jamarr,Davis,6-4,315,0.8650
Kevin,Diaz,6-3,250,0.8304
Brian,Dillard,6-2,190,0.8500
Azhaun,Dingle,6-1,195,0.8600
Thaddeus,Dixon,5-11.5,187,0.8728
Jayden,Dixon-Veal,6-0,180,0.8317
Kendel,Dolby,5-11,180,0.8903
Jaceon,Doss,6-0,170,0.8200
Brendan,Doyle,6-4,255,0.8006
Jayden,Dunlap,6-1,180,0.8497
Nate,Dyman,6-1.5,219,0.8350
Jamai,East,6-2,215,0.8306
Jett,Elad,6-0,180,0.8200
Judah,Ezinwa,6-3,240,0.8200
Gafa,Faga,6-4,270,0.8300
Bishop,Fitzgerald,6-0,190,0.8861
Prince,Ford,6-0,170,0.8400
Mike,Franklin,6-2,225,0.8467
Demetrius,Freeney,6-1,185,0.8700
Ronald,Fuselier,5-11,180,0.8200
Tysheik,Galloway,6-2,295,0.8006
Juwon,Gaston,5-11,187,0.8467
