First,Last,Height,Weight,Score
Deuce,Alexander,6-0,175,0.9000
Bear,Alexander,6-3,315,0.9200
Nic,Anderson,6-4,216,0.9500
Jackson,Arnold,6-1,210,0.9000
Beau,Atkinson,6-6,265,0.9100
David,Bailey,6-3,250,0.9500
Carson,Beck,6-4,220,0.9600
Tre,Bell,6-3,191,0.8900
Malik,Benson,6-1,195,0.9100
O'Mega,Blake,6-2,180,0.9100
Justus,Boone,6-4,266,0.8900
Fluff,Bothwell,5-10,219,0.9100
Amier,Boyd,6-1,180,0.9100
Zachariah,Branch,5-10,175,0.9500
Charles,Brantley,6-0,170,0.9100
Joshua,Braun,6-6,338,0.8900
Jaylon,Braxton,6-0,190,0.9000
Cole,Brevard,6-3,333,0.9100
Eugene,Brooks,6-3,336,0.8900
Jaylen,Brown,6-5,265,0.9200
Barion,Brown,6-1,182,0.9300
Sincere,Brown,6-5,190,0.9000
Gabriel,Brownlow-Dindy,6-3,310,0.9000
Keyan,Burnett,6-6,248,0.8900
Jimari,Butler,6-5,260,0.9000
Cam,Calhoun,6-0,177,0.9200
Amare,Campbell,6-0,230,0.9100
Xavier,Chaplin,6-7,323,0.9500
Brandon,Cisse,6-0,182,0.9200
Malachi,Coleman,6-5,210,0.8900
Kelby,Collins,6-4,278,0.9000
KC,Concepcion,5-11,189,0.9400
Pat,Coogan,6-5,310,0.9100
Tamarcus,Cooley,5-11,205,0.9000
Joe,Cotton,6-7,315,0.9100
Blake,Cotton,6-3,190,0.9000
Mario,Craver,5-10,170,0.9200
Steven,Curtis,6-5,255,0.8900
CJ,Daniels,6-2,205,0.9100
Phillip,Daniels,6-5,315,0.9200
Kendal,Daniels,6-4,235,0.9100
Tacario,Davis,6-4,190,0.9300
Mansoor,Delane,6-1,187,0.9100
Kam,Dewberry,6-4,330,0.8900
Deamontae,Diggs,6-5,260,0.9000
Thaddeus,Dixon,6-1,186,0.9200
CJ,Donaldson,6-2,238,0.9000
Dante,Dowdell,6-2,225,0.8900
Kyran,Duhon,6-2,250,0.9000
Jordan,Dwyer,6-0,195,0.9200
Joshua,Eaton,6-2,190,0.9200
Jahmal,Edrine,6-3,215,0.9100
Sincere,Edwards,6-1,245,0.9000
Jack,Endries,6-4,240,0.9100
Fa'alili,Fa'amoe,6-5,314,0.9200
Rahsul,Faison,5-11,200,0.9200
Tyreese,Fearbry,6-5,242,0.9200
TJ,Ferguson,6-4,328,0.9000
Malachi,Fields,6-4,220,0.9300
Horatio,Fields,6-3,205,0.9300
Bishop,Fitzgerald,6-0,195,0.8900
Micheal,Garner,6-5,230,0.9100
Mikai,Gbayor,6-1,235,0.9000
JV,Gibson,6-3,205,0.8900
Skyler,Gill-Howard,6-1,285,0.8900
Dominick,Giudice,6-4,310,0.9000
Jamare,Glasker,6-1,185,0.9000
Bernard,Gooden,6-1,280,0.9200
Nyland,Green,6-1,186,0.8900
Mark,Gronowski,6-3,230,0.9100
David,Gusta,6-3,302,0.9300
Mark,Hamper,6-1,210,0.8900
Ahmad,Hardy,5-10,205,0.9100
Alex,Harkey,6-6,305,0.9100
DJ,Harvey,5-11,174,0.9000
Luke,Hasz,6-3,241,0.9300
A.J.,Haulcy,6-0,215,0.9000
Bryce,Hawthorne,6-3,285,0.9000
Justice,Haynes,5-11,210,0.9200
Romello,Height,6-3,240,0.9300
Will,Heldt,6-6,265,0.9300
Roman,Hemby,6-0,208,0.8900
Red,Hibbler,6-2,271,0.9000
Nikhai,Hill-Green,6-2,230,0.9200
Isaiah,Horton,6-4,205,0.9200
Khmori,House,6-0,213,0.9200
Micah,Hudson,6-0,195,0.9200
Makhi,Hughes,5-11,210,0.9100
Julio,Humphrey,6-1,195,0.9200
Mi'Quise,Humphrey-Grace,6-4,255,0.9200
Lee,Hunter,6-4,320,0.9200
Nyziah,Hunter,6-2,210,0.9000
TreyShun,Hurry,6-2,194,0.8900
Damon,II,6-4,250,0.9800
Corey,II,6-5,305,0.9100
Dwight,III,6-1,195,0.9000
Harrison,III,6-1,198,0.9200
Nico,Iamaleava,6-6,215,0.9800
Ja'Keem,Jackson,6-0,189,0.9100
Will,Jados,6-8,307,0.9200
Jamaal,Jarrett,6-5,350,0.9100
Jayson,Jenkins,6-6,281,0.9100
Theran,Johnson,5-11,182,0.8900
Nate,Johnson,6-5,240,0.9200
Isaiah,Johnson,6-1,322,0.8900
Lavon,Johnson,6-2,311,0.8900
Jamari,Johnson,6-5,265,0.9000
Quinten,Joyner,5-11,216,0.9000
Terrance,Jr.,6-2,239,0.9000
Rodney,Jr.,6-3,295,0.9000
Marvin,Jr.,6-5,255,0.9200
Eddie,Jr.,6-5,277,0.8900
Marcellus,Jr.,6-1,180,0.8900
Michael,Jr.,6-1,200,0.8900
James,Jr.,6-5,295,0.9200
David,Jr.,6-4,303,0.9200
Eric,Jr.,5-11,190,0.9600
Kevin,Jr.,5-11,180,0.9300
Bangally,Kamara,6-2,229,0.9200
Hero,Kanu,6-5,305,0.8900
Emmanuel,Karnley,6-3,184,0.9100
Omari,Kelly,6-0,186,0.8900
Dane,Key,6-3,210,0.9300
Daniel,King,6-5,340,0.9200
Noah,King,6-2,200,0.9000
Max,Klare,6-4,240,0.9400
Amariyun,Knighten,6-0,174,0.9000
Keanu,Koht,6-4,242,0.9000
Tanner,Koziol,6-6,257,0.9200
Luke,Kromenhoek,6-4,208,0.9300
Patrick,Kutas,6-5,313,0.9400
Kendrick,Law,5-11,209,0.9000
Percy,Lewis,6-7,355,0.8900
Xavier,Lucas,6-2,198,0.9300
Keelan,Marion,6-0,195,0.9200
Andrew,Marshall,6-0,186,0.8900
Marcellus,Marshall,6-5,310,0.8900
John,Mateer,6-1,219,0.9500
Josh,McCray,6-1,235,0.8900
Dasan,McCullough,6-5,235,0.9100
JacQawn,McRoy,6-8,375,0.9000
Adrian,Medley,6-5,305,0.8900
Fernando,Mendoza,6-5,225,0.9300
