First,Last,Height,Weight,Score
Omar,Aigbedion,6-3,308,0.8900
Kam,Alexander,5-11,175,0.9000
Cyrus,Allen,6-0,177,0.9100
Rashad,Amos,6-2,234,0.8900
Trey,Amos,6-1,197,0.9200
Mario,Anderson,5-9,208,0.8900
Akili,Arnold,5-11,200,0.8900
Drew,Azzopardi,6-7,315,0.9100
Elijhah,Badger,6-2,190,0.9000
Cam,Ball,6-6,235,0.9000
Sieh,Bangura,6-0,190,0.8900
Jahmal,Banks,6-4,205,0.9000
Yam,Banks,6-1,208,0.9000
Jaishawn,Barham,6-4,233,0.9100
Tyler,Baron,6-5,255,0.9200
Jeremiah,Beasley,6-1,230,0.9000
Malik,Benson,6-1,195,0.9100
Germie,Bernard,6-1,203,0.9000
Silas,Bolden,5-8,157,0.9000
Isaiah,Bond,5-11,182,0.9800
Peny,Boone,6-1,230,0.9000
Peny,Boone,6-1,242,0.9000
Parker,Brailsford,6-2,275,0.9300
Trikweze,Bridges,6-3,198,0.8900
Ja'Corey,Brooks,6-2,195,0.9100
Terrance,Brooks,6-0,209,0.9100
Max,Brosmer,6-2,210,0.9000
Raleek,Brown,5-8,185,0.9000
Jalen,Brown,6-1,178,0.9200
Teddye,Buchanan,6-2,237,0.8900
Rayyan,Buell,6-3,277,0.9000
Deion,Burks,5-11,195,0.9200
Savion,Byrd,6-5,296,0.9000
Jamaree,Caldwell,6-1,325,0.9300
Kadarius,Calloway,6-0,217,0.9000
Marcus,Carroll,5-10,210,0.8900
Kendy,Charles,6-0,280,0.9000
Aidan,Chiles,6-3,200,0.9600
Jordan,Clark,5-10,185,0.8900
Nate,Clifton,6-5,280,0.9000
Ashanti,Cole,6-4,300,0.8900
Jalin,Conyers,6-4,270,0.9100
Marley,Cook,6-2,298,0.9000
Zeke,Correll,6-3,306,0.8900
Ashton,Cozart,6-3,195,0.8900
Devynn,Cromwell,6-1,195,0.8900
Tackett,Curtis,6-2,225,0.9200
CJ,Daniels,6-2,200,0.9200
J.C.,Davis,6-5,307,0.9000
Dermaricus,Davis,6-5,187,0.9000
Devean,Deal,6-4,245,0.8900
Andrew,Dennis,6-5,290,0.9200
Fadil,Diggs,6-5,250,0.9200
Logan,Diggs,6-1,215,0.9000
Dante,Dowdell,6-2,215,0.9000
Caleb,Downs,6-0,203,0.9900
Jamon,Dumas-Johnson,6-1,235,0.9300
Tomiwa,Durojaiye,6-4,278,0.9000
Tyler,Dyke,6-4,230,0.9000
Dylan,Edwards,5-9,170,0.9100
Kaleb,Elarms-Orr,6-2,230,0.9000
Trevor,Etienne,5-9,205,0.9300
Obi,Ezeigbo,6-3,252,0.8900
TJ,Ferguson,6-4,322,0.9000
Dequan,Finn,6-2,205,0.9100
Julian,Fleming,6-2,210,0.9200
Randon,Fontenette,6-3,215,0.8900
Korey,Foreman,6-4,235,0.9100
Sam,Franklin,5-10,200,0.8900
Dillon,Gabriel,5-11,204,0.9100
Kendre,Gant,6-4,222,0.8900
Jardin,Gilbert,6-1,185,0.9300
Matthew,Golden,6-0,190,0.9200
Devin,Grant,6-4,190,0.8900
Nyland,Green,6-1,185,0.9500
BJ,Green,6-1,270,0.9100
Cayden,Green,6-5,316,0.9500
Thor,Griffith,6-2,320,0.8900
Jamroc,Grimsley,6-3,185,0.9100
DeShawn,Hanika,6-6,225,0.8900
Derrick,Harmon,6-5,320,0.9100
A.J.,Harris,6-1,190,0.9500
Jay,Harris,6-2,215,0.8900
Denver,Harris,6-0,190,0.9000
Marcus,Harris,5-11,185,0.9300
Isaiah,Hastings,6-4,290,0.8900
Zeed,Haynes,6-1,170,0.8900
Lance,Heard,6-6,340,0.9400
Blye,Hill,6-3,165,0.8900
Preston,Hodge,5-11,195,0.9000
Jaxon,Howard,6-4,241,0.9200
Will,Howard,6-5,242,0.9200
Alex,Howard,6-2,230,0.8900
Grayson,Howard,6-4,241,0.9100
Cashius,Howell,6-4,235,0.9200
London,Humphreys,6-3,186,0.9400
Brady,Hunt,6-6,249,0.8900
Jalen,Huskey,6-1,185,0.8900
Johncarlos,II,6-5,242,0.8900
Chris,II,6-5,195,0.9100
Wayne,III,6-2,225,0.9100
Oscar,III,5-10,219,0.8900
Will,III,6-3,185,0.9000
Domani,Jackson,6-1,190,0.9200
Ja'Quinden,Jackson,6-2,228,0.9200
Braylon,James,6-2,202,0.9000
KJ,Jefferson,6-3,247,0.8900
Jonathan,Jefferson,6-3,295,0.8900
Bai,Jobe,6-4,252,0.9000
Nate,Johnson,6-1,195,0.9000
Kisean,Johnson,6-0,209,0.8900
Tyler,Johnson,6-5,320,0.9000
Kenan,Johnson,6-1,183,0.8900
Jake,Johnson,6-5,225,0.9200
Justin,Joly,6-3,232,0.9200
Antwane,Jr.,6-1,210,0.9300
Marvin,Jr.,6-5,250,0.9300
Sam,Jr.,6-2,195,0.9200
Demond,Jr.,5-9,174,0.9000
Corey,Jr.,6-1,215,0.9000
Chris,Jr.,6-1,233,0.9200
Earl,Jr.,6-1,186,0.9000
Xavian,Jr.,6-3,214,0.9000
Toriano,Jr.,5-11,190,0.9200
Leon,Jr.,6-4,239,0.8900
Rico,Jr.,6-2,205,0.9100
Raymond,Jr.,6-3,215,0.9100
Demetrius,Jr.,6-2,247,0.9100
Quinshon,Judkins,5-11,210,0.9600
DeAndre,Jules,6-3,310,0.9000
Anton,Juncaj,6-3,273,0.9000
Will,Kacmarek,6-6,256,0.8900
Nate,Kalepo,6-6,327,0.8900
Jack,Kelly,6-3,235,0.9100
Nyjalik,Kelly,6-5,250,0.9100
Josh,Kelly,6-1,191,0.9000
Kyle,Kennard,6-5,238,0.9000
Gerald,Kilgore,6-0,202,0.8900
Easton,Kilty,6-5,305,0.9000
Caullin,Lacy,5-10,190,0.9100
KeAndre,Lambert-Smith,6-1,185,0.9200
Key,Lawrence,6-1,206,0.8900
Sam,Leavitt,6-2,200,0.8900
Riley,Leonard,6-4,212,0.9200
Percy,Lewis,6-8,345,0.8900
Robert,Lewis,5-11,185,0.8900
Sione,Lolohea,6-3,266,0.9000
Taeshaun,Lyons,6-1,170,0.9000
King,Mack,5-10,188,0.9200
Austin,Mack,6-6,226,0.9200
Jayden,Maiava,6-4,220,0.9000
Woody,Marks,5-10,210,0.9000
Cole,Martin,5-10,180,0.9000
Damien,Martinez,6-0,237,0.9300
Easton,Mascarenas-Arnold,5-11,228,0.9100
Mikey,Matthews,5-10,180,0.9000
Eric,McAlister,6-4,200,0.8900
Grayson,McCall,6-3,220,0.9000
Cormani,McClain,6-2,165,0.9400
Jordan,McCloud,6-0,199,0.8900
Kyle,McCord,6-3,215,0.9100
Jermod,McCoy,6-0,180,0.9000
Tamarion,McDonald,6-2,208,0.9000
Jordan,McDonald,6-1,220,0.8900
Seth,McLaughlin,6-4,305,0.9000
Xzavier,McLeod,6-5,284,0.9100
Tobias,Merriweather,6-4,204,0.9000
Chamon,Metayer,6-5,248,0.9000
Dymere,Miller,6-0,180,0.9000
Kris,Mitchell,6-1,175,0.9100
Dante,Moore,6-3,210,0.9500
Trey,Moore,6-3,235,0.9300
Jabbar,Muhammad,5-10,183,0.9400
Andrew,Mukuba,6-0,195,0.9300
Shawn,Murphy,6-2,225,0.9100
Maalik,Murphy,6-5,238,0.9300
Malachi,Nelson,6-3,190,0.9100
Amari,Niblack,6-4,233,0.9300
Addison,Nichols,6-5,327,0.8900
Walter,Nolen,6-4,285,0.9900
RJ,Oben,6-4,260,0.9200
David,Ojiegbe,6-3,240,0.8900
Samuel,Okunlola,6-4,245,0.9200
LT,Overton,6-5,280,0.9300
Aeneas,Peebles,6-1,286,0.8900
John,Pius,6-2,235,0.9000
Jake,Pope,6-1,192,0.8900
Mishael,Powell,6-1,210,0.9000
Kadyn,Proctor,6-7,360,0.9900
Ephesians,Prysock,6-4,190,0.9000
Kamari,Ramsey,6-1,205,0.9200
Jaden,Rashada,6-4,185,0.9200
Marcus,Ratcliffe,6-3,210,0.9000
Mark,Redman,6-6,255,0.9000
Kedrick,Reescano,6-0,210,0.9100
Dezz,Ricks,6-1,182,0.9400
