First,Last,Height,Weight,Score
Joenel,Aguero,5-11,205,0.8800
Cooper,Alexander,6-4,245,0.8800
Christian,Alliegro,6-4,247,0.8800
Nic,Anderson,6-4,208,0.8800
Terrell,Anderson,6-2,192,0.9400
Caleb,Bacon,6-4,240,0.9100
Cooper,Barkate,6-1,195,0.9200
Elijah,Barnes,6-1,244,0.9000
Chris,Barnes,5-7,168,0.9000
CJ,Baxter,6-1,227,0.8900
Rocco,Becht,6-1,210,0.9400
Ty,Benefield,6-2,205,0.9400
Sterling,Berkhalter,6-3,203,0.9000
Cole,Best,6-4,315,0.8900
Rasheem,Biles,6-1,220,0.9300
Brendan,Black,6-4,320,0.9200
Malik,Blocton,6-3,291,0.8900
Michai,Boireau,6-4,349,0.9200
Cutter,Boley,6-5,220,0.8900
Justin,Bowick,6-4,210,0.9000
Ben,Brahmer,6-7,255,0.9400
Arhmad,Branch,6-0,185,0.8800
Francis,Brewu,6-2,280,0.9300
Nick,Brooks,6-7,349,0.9000
Raleek,Brown,5-9,195,0.9200
Jayce,Brown,6-0,179,0.9200
Byrum,Brown,6-3,232,0.9400
Que'Sean,Brown,5-8,165,0.9300
Joe,Brunner,6-5,317,0.9300
JJ,Buchanan,6-3,225,0.9400
Gabe,Burkle,6-6,255,0.8800
Joshua,Burnham,6-4,260,0.8900
Tawfiq,Byard,6-1,195,0.8800
Isiah,Canion,6-4,215,0.9400
Noah,Carter,6-4,243,0.9300
Boo,Carter,5-11,200,0.9300
Xavier,Chaplin,6-7,348,0.9200
Xion,Chapman,6-4,300,0.9200
Aidan,Chiles,6-3,217,0.9000
Jordan,Church,6-4,310,0.9100
Christian,Clark,6-0,212,0.8900
Chaz,Coleman,6-4,246,0.9800
Cam,Coleman,6-3,201,0.9800
Kelby,Collins,6-4,275,0.8800
Jayvontay,Conner,6-4,239,0.8900
Jalyn,Crawford,5-11,179,0.9300
Carius,Curne,6-5,320,0.9400
John,Daley,6-4,255,0.9300
Eryx,Daugherty,6-3,305,0.8800
Keona,Davis,6-5,275,0.9200
Luke,Dehnicke,6-4,240,0.8800
Faheem,Delane,6-1,210,0.9000
Kolt,Dieterich,6-6,310,0.9200
Jack,Dorselaer,6-5,236,0.9000
Elijah,Dotson,6-1,192,0.8900
TJ,Dottery,6-2,230,0.9000
Tomiwa,Durojaiye,6-5,300,0.9300
Dylan,Edwards,5-9,175,0.8900
Koen,Entringer,6-1,211,0.8900
Brett,Eskildsen,6-1,200,0.8900
Dealyn,Evans,6-5,310,0.8900
Horatio,Fields,6-2,201,0.9000
Zuriah,Fisher,6-3,259,0.9200
Matthew,Fobbs-White,6-3,235,0.8900
Brody,Foley,6-6,260,0.9200
Wilkin,Formby,6-7,324,0.9300
Makhi,Frazier,5-10,218,0.8900
Mikai,Gbayor,6-2,230,0.9000
Ian,Geffrard,6-5,387,0.9200
JV,Gibson,6-2,211,0.8900
Xavier,Gilliam,6-2,300,0.9400
Mylan,Graham,6-1,195,0.8900
Tionne,Gray,6-6,336,0.9400
Terrance,Green,6-5,330,0.9400
Stephiylan,Green,6-4,290,0.9100
Wendell,Gregory,6-3,255,0.9300
Ethan,Grunkemeyer,6-2,207,0.9300
Carson,Hansen,6-2,220,0.8800
Hayden,Hansen,6-7,269,0.8800
Devin,Harper,6-4,315,0.9300
Luke,Harpring,6-3,240,0.8800
E'Marion,Harris,6-7,313,0.9300
Daniel,Harris,6-3,195,0.8800
Jackson,Harris,6-3,205,0.8900
Jay,Harris,6-2,215,0.8800
Reed,Harris,6-5,217,0.9400
Trell,Harris,6-0,200,0.9300
A.J.,Harris,6-1,193,0.9000
Caleb,Hawkins,6-2,200,0.9400
Justice,Haynes,5-11,210,0.9300
Ty,Haywood,6-5,316,0.8900
Lance,Heard,6-6,330,0.9400
Chase,Hendricks,6-0,203,0.9300
Caleb,Herring,6-5,245,0.8900
Brandyn,Hillman,6-0,200,0.8800
Josh,Hoover,6-2,200,0.9300
Isaiah,Horton,6-4,208,0.9600
Khmori,House,6-0,215,0.9000
Katin,Houser,6-3,225,0.8800
Makhi,Hughes,5-11,210,0.8800
Roger,II,6-4,245,0.8800
Damon,II,6-4,250,0.9600
Tre',III,6-2,180,0.9000
Eugene,III,5-10,194,0.9300
Abu,III,5-11,210,0.8800
Rickey,III,6-0,185,0.9300
