First,Last,Height,Weight,Score
Tunmise,Adeleye,6-4,295,0.9200
Zy,Alexander,6-3,185,0.9300
Bear,Alexander,6-3,325,0.9400
Erick,All,6-4,225,0.9200
Brady,Allen,6-5,210,0.9000
Ajay,Allen,5-11,182,0.8900
Luke,Altmyer,6-2,190,0.9100
Trey,Amos,6-1,197,0.8900
Aaron,Anderson,5-9,185,0.9100
Jordan,Anderson,5-10,200,0.9000
Junior,Angilau,6-6,316,0.9000
Andrew,Armstrong,6-3,180,0.8900
Brennan,Armstrong,6-2,215,0.9100
Gottlieb,Ayedze,6-5,300,0.9000
Caleb,Banks,6-6,255,0.9100
AJ,Barner,6-6,250,0.9100
Clark,Barrington,6-6,265,0.9100
Brian,Battie,5-8,165,0.9100
Miles,Battle,6-4,203,0.9100
Jaheim,Bell,6-2,207,0.9400
Germie,Bernard,6-2,195,0.9000
Rondell,Bothroyd,6-3,270,0.9000
Smoke,Bouie,5-11,180,0.9200
Tanner,Bowles,6-5,280,0.9000
Gunner,Britton,6-6,275,0.9100
Tommy,Brockermeyer,6-5,292,0.9100
Tyrone,Broden,6-6,210,0.9000
Davonte,Brown,6-1,160,0.9100
Kaleb,Brown,5-10,195,0.9200
Logan,Brown,6-6,305,0.9000
Jordan,Burch,6-5,275,0.9400
Jeremiah,Byers,6-6,290,0.9200
Derrick,Canteen,5-10,175,0.9000
Hudson,Card,6-2,195,0.9300
Devin,Carter,6-4,205,0.9100
Ja'Had,Carter,6-2,198,0.9300
Antonio,Carter,6-1,200,0.8900
Andre,Carter,6-5,263,0.9300
DeQuece,Carter,6-0,196,0.9000
McCallan,Castles,6-5,240,0.9000
Jalen,Catalon,5-10,200,0.9000
Dante,Cephas,6-1,175,0.9200
Tyrese,Chambers,6-1,175,0.9000
Armani,Chatman,6-0,180,0.8900
Jakai,Clark,6-3,305,0.8900
Mason,Cobb,6-1,220,0.9100
Javion,Cohen,6-5,295,0.9400
Keon,Coleman,6-4,200,0.9300
Dalton,Cooper,6-7,280,0.9000
Ajani,Cornelius,6-4,315,0.9200
Josh,Cuevas,6-5,245,0.9000
Fentrell,Cypress,6-0,184,0.9500
Levani,Damuni,6-2,225,0.9000
Ray,Davis,5-9,210,0.9000
Jaden,Davis,5-10,181,0.9000
Josh,DeBerry,5-11,180,0.9100
Branson,Deen,6-3,255,0.9100
Logan,Diggs,6-0,195,0.9100
CJ,Dippre,6-5,245,0.9200
Storm,Duck,6-0,200,0.8900
Storm,Duck,6-0,200,0.9000
JoJo,Earle,5-9,170,0.9100
Gilber,Edmond,6-4,230,0.9200
Caleb,Etienne,6-8,310,0.8900
Rivaldo,Fairweather,6-5,210,0.9100
Logan,Fano,6-4,230,0.9000
Tre'Quon,Fegans,6-1,181,0.9000
Braden,Fiske,6-5,300,0.9300
Justin,Flowe,6-2,225,0.9100
Trace,Ford,6-3,227,0.9100
Kyle,Ford,6-3,220,0.9000
Zakhari,Franklin,6-1,180,0.9100
Aaron,Frost,6-5,294,0.9000
Jake,Garcia,6-3,194,0.9000
Arik,Gilbert,6-5,248,0.9100
Anthony,Goodlow,6-5,230,0.9000
Kiyaunta,Goodwin,6-8,340,0.9100
Jaeden,Gould,6-2,190,0.9000
Tony,Grimes,6-0,195,0.9000
Marquis,Groves-Killebrew,6-0,180,0.9100
Var'Keyes,Gumms,6-3,235,0.9000
JQ,Hardaway,6-2,190,0.9100
Thomas,Harper,5-11,180,0.8900
Denver,Harris,6-1,180,0.9800
Tre,Harris,6-2,204,0.9000
Sam,Hartman,6-0,186,0.9400
Ernest,Hausmann,6-2,220,0.9600
Eddie,Heckard,5-10,190,0.9100
Avery,Helm,6-2,170,0.9000
Jack,Henderson,6-2,205,0.8900
LaDarius,Henderson,6-4,270,0.9300
Xzavier,Henderson,6-3,180,0.9000
Myles,Hinton,6-6,308,0.9000
Traeshon,Holden,6-3,195,0.9100
Gavin,Holmes,5-11,173,0.9100
Shane,Hooks,6-5,190,0.9000
Walker,Howard,6-1,195,0.9200
Jordan,Hudson,6-1,190,0.9300
Travis,Hunter,6-1,165,0.9900
Alijah,Huzzie,5-11,190,0.9000
Derrick,II,6-4,255,0.8900
Caleb,III,6-0,165,0.9000
Arland,IV,5-10,195,0.9000
Davison,Igbinosun,6-2,185,0.9400
Cam,Jackson,6-5,271,0.9000
Khyree,Jackson,6-3,197,0.8900
Tayven,Jackson,6-3,200,0.9000
Nick,Jackson,6-1,236,0.9000
Ketron,Jackson,6-2,205,0.9000
Jestin,Jacobs,6-3,205,0.9000
Javontae,Jean-Baptiste,6-5,250,0.9000
Jeremiah,Jean-Baptiste,6-2,220,0.8900
Jordan,Jefferson,6-4,300,0.9100
Ali,Jennings,6-2,186,0.9200
Gabe,Jeudy-Lally,6-1,185,0.9000
Dillon,Johnson,6-0,192,0.9100
JK,Johnson,6-1,175,0.9200
Marcellus,Johnson,6-4,270,0.9000
Keagan,Johnson,6-1,194,0.9000
Lorando,Johnson,5-11,181,0.8900
Cam'Ron,Johnson,6-4,291,0.9100
Avery,Jones,6-4,305,0.9300
LJ,Jr.,5-10,205,0.9100
Gary,Jr.,5-11,180,0.9000
Anthony,Jr.,6-4,320,0.9100
John,Jr.,6-5,320,0.8900
Theo,Jr.,6-2,201,0.9000
Marcus,Jr.,6-4,290,0.9000
Chris,Jr.,6-1,175,0.9300
Dont’e,Jr.,6-4,185,0.9100
Lorenzo,Jr.,6-1,185,0.9000
Damieon,Jr.,6-6,348,0.8900
Jimmy,Jr.,5-9,170,0.9000
Tywone,Jr.,6-4,305,0.8900
Darrell,Jr.,6-6,300,0.9100
Andrej,Karic,6-4,296,0.8900
Cam,Kelly,6-1,210,0.8900
Cam,Kelly,6-1,210,0.9000
Demouy,Kennedy,6-3,215,0.9100
Jaylen,Key,6-2,185,0.8900
Landen,King,6-5,220,0.8900
Jarrett,Kingston,6-5,300,0.8900
Trey,Knox,6-5,215,0.9200
Jacob,Lacey,6-2,285,0.9000
Derrick,LeBlanc,6-4,265,0.9000
Devin,Leary,6-1,215,0.9400
Matt,Lee,6-3,285,0.9300
Montana,Lemonious-Craig,6-2,185,0.9100
Steve,Linton,6-5,215,0.9100
MarShawn,Lloyd,5-9,211,0.9200
Dominic,Lovett,5-10,175,0.9400
Anthony,Lucas,6-6,270,0.9200
Chris,Marshall,6-3,205,0.9100
Trezmen,Marshall,6-1,230,0.9100
Francisco,Mauigoa,6-3,219,0.9200
Micah,Mazzccua,6-5,335,0.9000
Sam,McCall,6-1,182,0.9200
Alton,McCaskill,6-1,200,0.9100
Nate,McCollum,5-11,185,0.8900
Deandrae,McCray,5-10,170,0.8900
Dasan,McCullough,6-5,225,0.9300
Donovan,McMillon,6-2,193,0.9000
Patrick,McMorris,6-0,210,0.9000
Graham,Mertz,6-3,205,0.9000
Montre,Miller,5-10,168,0.9000
Adonai,Mitchell,6-4,190,0.9800
Monty,Montgomery,5-11,218,0.9100
Joe,Moore,6-2,255,0.8700
Tanner,Mordecai,6-3,214,0.9100
Kyle,Morlock,6-7,250,0.9000
RJ,Moten,6-0,200,0.9200
Jamil,Muhammad,6-2,245,0.8900
Jabbar,Muhammad,5-10,175,0.9000
Mosiah,Nasili-Kite,6-2,298,0.9000
Drake,Nugent,6-2,275,0.9000
Ryan,O'Keefe,5-10,165,0.8900
Ovie,Oghoufo,6-3,239,0.8900
Oluwafemi,Oladejo,6-3,255,0.8900
Decorian,Patterson,6-0,156,0.8900
Jordan,Phillips,6-2,295,0.8900
Keenan,Pili,6-3,237,0.9000
Mycah,Pittman,5-11,205,0.8900
Kaden,Prather,6-3,210,0.9200
Emmanuel,Pregnon,6-6,318,0.9200
Caden,Prieskorn,6-5,255,0.9200
Nikko,Reed,5-10,160,0.8900
Dominic,Richardson,6-0,205,0.9100
John,Richardson,6-0,180,0.8900
Aidan,Robbins,6-2,220,0.9200
Freddie,Roberson,6-2,195,0.8900
Casey,Roddick,6-4,340,0.8900
Justin,Rogers,6-2,311,0.9200
Christian,Roland-Wallace,5-11,198,0.9200
Walter,Rouse,6-5,276,0.9100
Shedeur,Sanders,6-1,198,0.9200
John,Saunders,6-4,195,0.9100
Collin,Schlee,6-3,210,0.9100
Davon,Sears,6-2,290,0.9000
Paris,Shand,6-5,240,0.9100
Ja'Quan,Sheppard,6-2,190,0.9000
MJ,Sherman,6-2,250,0.9000
Jyaire,Shorter,6-2,215,0.9000
Keeshawn,Silver,6-4,315,0.9000
Josh,Simmons,6-6,280,0.9100
Joshua,Simon,6-3,217,0.9100
Jeff,Sims,6-3,205,0.9000
Dorian,Singer,6-0,172,0.9200
Jaheim,Singletary,6-2,170,0.9200
Kaleb,Smith,6-3,190,0.9100
Omar,Speights,6-1,227,0.9000
Elijah,Spencer,6-2,190,0.9000
Carson,Steele,6-1,215,0.9200
Josaiah,Stewart,6-2,235,0.9100
Austin,Stogner,6-6,235,0.8900
De'Zhaun,Stribling,6-3,203,0.9100
J.,Sturdivant,6-3,205,0.9300
Jack,Sullivan,6-5,245,0.9000
Demie,Sumo-Karngbaye,6-0,202,0.9000
Harrison,Taggart,6-2,200,0.9000
Michael,Tarquin,6-6,290,0.8900
Rara,Thomas,6-1,185,0.9100
Brenen,Thompson,5-10,163,0.9200
Jamari,Thrash,6-0,180,0.9100
DeMario,Tolan,6-1,205,0.9000
Seydou,Traore,6-4,210,0.9200
Seydou,Traore,6-4,210,0.9000
Sean,Tyler,5-9,185,0.8900
Jordyn,Tyson,6-0,170,0.9100
DJ,Uiagalelei,6-4,234,0.9100
Isaac,Ukwu,6-2,219,0.8900
Sam,V,5-11,180,0.9000
Darian,Varner,6-2,260,0.8900
Dillon,Wade,6-4,290,0.9200
Alfahiym,Walcott,6-2,219,0.9000
Devontez,Walker,6-3,192,0.9500
Zamari,Walton,6-3,175,0.9000
Treshaun,Ward,5-10,192,0.9100
Marcus,Washington,6-0,170,0.9200
Blake,Watson,5-9,170,0.8900
Keanu,Williams,6-4,300,0.8900
Avantae,Williams,6-0,198,0.9000
CJ,Williams,6-2,190,0.9000
Evan,Williams,6-0,185,0.9100
Nohl,Williams,6-0,170,0.9100
Jaron,Willis,6-2,235,0.9000
Justin,Wright,6-2,218,0.8900
Matthew,Wykoff,6-6,330,0.8900
